pid,season,position,gp,war_indiv
8474628,2021,D,20,0.478
8482821,2021,G,3,0
8474636,2021,G,2,0
8474641,2021,C,58,1.517
8482834,2021,R,7,-0.03
8474651,2021,G,24,0
8474667,2021,G,6,0
8474673,2021,D,89,0.673
8474679,2021,R,82,1.834
8474682,2021,G,29,0
8474683,2021,C,71,1.16
8474688,2021,D,10,0.062
8470594,2021,G,61,0
8470600,2021,D,89,0.757
8474697,2021,D,59,-0.117
8470604,2021,C,83,2.133
8470606,2021,R,71,1.006
8470610,2021,L,82,1.124
8470612,2021,C,56,1.041
8470613,2021,D,82,1.974
8474709,2021,L,71,-0.487
8470619,2021,C,72,0.786
8474715,2021,R,73,2.158
8470621,2021,R,105,2.268
8474716,2021,D,71,1.709
8470626,2021,L,73,0.179
8474722,2021,D,1,-0.012
8470638,2021,C,80,3.394
8478831,2021,C,3,-0.014
8478838,2021,C,6,0.01
8478840,2021,D,36,0.191
8478841,2021,D,27,0.096
8478846,2021,D,9,0.055
8478851,2021,D,81,1.179
8478856,2021,R,77,2.162
8478859,2021,D,66,0.302
8478864,2021,L,87,5.718
8478866,2021,C,72,0.093
8478868,2021,D,11,-0.031
8478870,2021,L,61,0.529
8478872,2021,G,52,0
8478873,2021,R,75,2.994
8478874,2021,R,58,0.303
8478881,2021,L,2,0
8478882,2021,D,80,0.999
8478891,2021,C,68,0.234
8478902,2021,G,15,0
8478903,2021,G,1,0
8478904,2021,C,72,0.16
8478906,2021,D,1,0.049
8478911,2021,D,74,0.702
8474818,2021,D,39,0.185
8478915,2021,D,13,0.236
8478916,2021,G,5,0
8478933,2021,G,1,0
8474849,2021,L,53,-0.122
8470755,2021,R,44,0.037
8478949,2021,R,1,-0.01
8474870,2021,C,26,0.098
8470775,2021,C,33,-0.114
8478967,2021,C,29,-0.256
8478970,2021,D,16,0.08
8478971,2021,G,7,0
8478975,2021,L,58,2.258
8474884,2021,C,67,1.01
8474889,2021,G,35,0
8470794,2021,C,89,3.889
8478996,2021,C,25,-0.072
8479026,2021,D,27,0.062
8470860,2021,G,17,0
8479066,2021,L,60,0.414
8470880,2021,G,19,0
8470966,2021,D,82,1.357
8479193,2021,G,27,0
8475098,2021,C,62,0.106
8475149,2021,L,75,0.797
8475151,2021,C,69,1.242
8479249,2021,C,2,0.081
8475156,2021,G,48,0
8479252,2021,D,4,-0.022
8475158,2021,C,90,3.283
8475160,2021,L,26,0.016
8475163,2021,R,67,0.769
8475164,2021,R,53,0.434
8475166,2021,C,86,3.009
8475167,2021,D,105,4.734
8475168,2021,C,82,4.048
8475169,2021,L,58,2.558
8475170,2021,C,74,2.442
8475171,2021,D,79,0.879
8475172,2021,C,87,4.667
8475176,2021,D,4,0.23
8475177,2021,D,69,-0.011
8475178,2021,R,74,0.432
8475179,2021,D,82,0.777
8475181,2021,D,84,0.637
8477457,2021,G,4,0
8475184,2021,L,101,4.06
8475186,2021,D,7,0.007
8475188,2021,D,69,0.536
8475191,2021,R,56,1.636
8475193,2021,L,76,1.081
8479289,2021,D,4,0.037
8479291,2021,C,76,-0.089
8479292,2021,G,5,0
8479293,2021,L,30,0.494
8475197,2021,D,89,1.891
8475200,2021,D,82,1.253
8483397,2021,C,11,0.071
8475208,2021,D,77,0.423
8475209,2021,R,4,-0.003
8479304,2021,C,6,0.036
8475215,2021,G,44,0
8479312,2021,G,2,0
8479313,2021,G,7,0
8475218,2021,D,80,1.013
8479314,2021,L,94,5.615
8479316,2021,C,86,0
8475220,2021,L,80,1.151
8479318,2021,C,80,6.126
8479315,2021,R,5,0.001
8479320,2021,D,5,-0.011
8475225,2021,C,81,1.243
8479321,2021,D,1,0.045
8475227,2021,D,64,1.11
8479323,2021,D,98,4.403
8479324,2021,D,95,0.451
8479325,2021,D,84,2.588
8475231,2021,C,74,0.547
8479328,2021,R,49,0.171
8475233,2021,D,62,0.473
8475234,2021,G,6,0
8475235,2021,L,86,-0.276
8475236,2021,C,69,-0.105
8479333,2021,D,17,-0.053
8479335,2021,C,80,0.579
8479336,2021,R,60,0.515
8479337,2021,R,82,3.815
8479338,2021,D,20,0.029
8479339,2021,L,56,2.257
8479341,2021,D,34,0.223
8475246,2021,D,39,-0.055
8479343,2021,R,67,2.68
8479344,2021,R,81,1.531
8479345,2021,D,47,0.823
8479346,2021,C,91,0.994
8479347,2021,L,29,-0.198
8479348,2021,D,36,0.164
8479351,2021,C,68,0.237
8479353,2021,C,47,0.679
8479355,2021,D,18,-0.09
8479356,2021,L,45,0.547
8479359,2021,L,12,-0.093
8479361,2021,G,4,0
8479362,2021,L,10,-0.03
8479364,2021,L,8,-0.098
8479365,2021,C,64,0.389
8479366,2021,C,39,0.305
8479367,2021,R,13,-0.22
8479368,2021,L,2,-0.022
8479369,2021,D,82,0.087
8479370,2021,C,86,0.53
8479371,2021,D,70,0.85
8479372,2021,D,38,0.181
8479373,2021,C,61,0.748
8475279,2021,D,84,0.72
8479376,2021,D,37,0.176
8479378,2021,D,58,0.389
8479379,2021,R,46,-0.026
8479382,2021,C,15,-0.145
8475287,2021,L,85,1.356
8479383,2021,L,59,-0.166
8479385,2021,R,86,3.85
8479388,2021,D,52,0.374
8479390,2021,R,74,0.584
8479393,2021,L,63,0.6
8479394,2021,G,45,0
8479395,2021,D,11,0.065
8479398,2021,D,74,0.909
8479400,2021,C,81,2.507
8479402,2021,D,67,0.631
8479404,2021,C,52,-0.135
8479406,2021,G,18,0
8475311,2021,G,73,0
8471214,2021,L,83,4.641
8479407,2021,L,76,3.406
8471217,2021,L,51,-0.017
8479410,2021,D,101,1.682
8475314,2021,L,76,1.647
8479413,2021,D,2,-0.003
8471218,2021,R,65,2.661
8479414,2021,R,72,0.277
8479415,2021,C,77,0.754
8479419,2021,L,19,0.104
8475324,2021,D,82,0.697
8479420,2021,C,78,3.23
8471228,2021,R,74,0.433
8479421,2021,D,19,-0.074
8479425,2021,D,78,1.342
8471239,2021,G,1,0
8475343,2021,C,70,1.133
8479439,2021,D,8,0.026
8479442,2021,D,33,0.207
8479447,2021,R,1,0.021
