pid,first_name,last_name,position,birth_date
8465009,Zdeno,Chara,D,1977-03-18
8466138,Joe,Thornton,C,1979-07-02
8467950,Craig,Anderson,G,1981-05-21
8469455,Jason,Spezza,C,1983-06-13
8469608,Mike,Smith,G,1982-03-22
8470281,Duncan,Keith,D,1983-07-16
8470594,Marc-Andre,Fleury,G,1984-11-28
8470595,Eric,Staal,C,1984-10-29
8470600,Ryan,Suter,D,1985-01-21
8470604,Jeff,Carter,C,1985-01-01
8470606,Dustin,Brown,R,1984-11-04
8470610,Zach,Parise,L,1984-07-28
8470612,Ryan,Getzlaf,C,1985-05-10
8470613,Brent,Burns,D,1985-03-09
8470619,Brian,Boyle,C,1984-12-18
8470621,Corey,Perry,R,1985-05-16
8470626,Loui,Eriksson,L,1985-07-17
8470638,Patrice,Bergeron,C,1985-07-24
8470755,Brad,Richardson,R,1985-02-04
8470775,Nate,Thompson,C,1984-10-05
8470794,Joe,Pavelski,C,1984-07-11
8470860,Jaroslav,Halak,G,1985-05-13
8470880,Brian,Elliott,G,1985-04-09
8470966,Mark,Giordano,D,1983-10-03
8471214,Alex,Ovechkin,L,1985-09-17
8471215,Evgeni,Malkin,C,1986-07-31
8471217,Andrew,Ladd,L,1985-12-12
8471218,Blake,Wheeler,R,1986-08-31
8471228,Alexander,Radulov,R,1986-07-05
8471239,Cory,Schneider,G,1986-03-18
8471260,Blake,Comeau,L,1986-02-18
8471274,Alex,Goligoski,D,1985-07-30
8471276,David,Krejci,C,1986-04-28
8471284,Andrej,Sekera,D,1986-06-08
8471303,Alexander,Edler,D,1986-04-21
8471306,Thomas,Greiss,G,1986-01-29
8471418,Anton,Khudobin,G,1986-05-07
8471669,Paul,Stastny,C,1985-12-27
8471675,Sidney,Crosby,C,1987-08-07
8471677,Jack,Johnson,D,1987-01-13
8471679,Carey,Price,G,1987-08-16
8471685,Anze,Kopitar,C,1987-08-24
8471686,Marc,Staal,D,1987-01-13
8471695,Tuukka,Rask,G,1987-03-10
